sat_id,alt
19,-79.48274433149554
19,-81.23070350292573
19,-82.89637606037718
19,-84.40541768253982
19,-85.59322162611191
19,-86.14908812679103
19,-85.81223708719351
19,-84.75087948463798
19,-83.30008206925825
19,-81.65988044734773
19,-79.92158330561955
19,-78.1274829107518
19,-76.29878170257805
19,-74.4469844302416
19,-72.57875654798775
19,-70.69816010352407
19,-68.80776177099187
19,-66.90921856023125
19,-65.00360465759339
19,-63.09160204876835
19,-61.17361556080732
19,-59.24984390106443
19,-57.32032387443314
19,-55.38495746099632
19,-53.44352734277909
19,-51.49570412737519
19,-49.541047106082424
19,-47.5789994764121
19,-45.608878317601516
19,-43.62985909452336
19,-41.640953984635104
19,-39.64098280576665
19,-37.62853469090374
19,-35.60191782806878
19,-33.55909343453952
19,-31.497588489518314
19,-29.414379327996933
19,-27.305734555149968
19,-25.167000137048944
19,-22.99230071044043
19,-20.774116958921677
19,-18.502675437199144
19,-16.1650473158114
19,-13.74378247788949
19,-11.214778140723407
19,-8.54384095660761
19,-5.680928872558163
19,-2.550087357525066
19,0.9689886018928067
19,5.076426966962211
19,10.12313048470277
19,16.749781041604233
19,26.0652861199743
19,38.77611959834386
19,46.85902962100435
19,37.58104712132114
19,25.155852434289958
19,16.179772460067177
19,9.758300028746689
19,4.833962296571435
19,0.8046096550223604
19,-2.6605289475328315
19,-5.751128238498722
19,-8.581810765931492
19,-11.225274749200965
19,-13.729600828428454
19,-16.12774592135928
19,-18.442999935259397
19,-20.692256593519815
19,-22.888048092614437
19,-25.039852692851778
19,-27.154959421407924
19,-29.239054417808905
19,-31.29662735146268
19,-33.33125854528112
19,-35.34582514265698
19,-37.342651120743376
19,-39.32361751866753
19,-41.29024385741492
19,-43.243748197174725
19,-45.18509089749157
19,-47.11500549027552
19,-49.034018868064706
19,-50.94246205059822
19,-52.840471987449455
19,-54.72798407475759
19,-56.604714201341984
19,-58.47012806515675
19,-60.323394038753875
19,-62.163313747844455
19,-63.98822134321058
19,-65.7958375178933
19,-67.58305654187593
19,-69.34563214724908
19,-71.0777081201215
19,-72.7711076985903
19,-74.41424738108161
19,-75.99047478681376
19,-77.47557066219106
19,-78.83421769323073
19,-80.01580394243953
19,-80.95186872397967
19,-81.56148226646232
19,-81.77287944637882
19,-81.55711858899642
19,-80.9455765216253
19,-80.0114430861212
19,-78.83604368174585
19,-77.48772631003276
19,-76.01687628165423
19,-74.45862769944999
19,-72.83709295989141
19,-71.16888671471666
19,-69.46561007618432
19,-67.73550174896155
19,-65.98451727786751
19,-64.21703608235305
19,-62.436329820133814
19,-60.64487736365608
19,-58.84458017277887
19,-57.03691207356556
19,-55.223025169361485
19,-53.40382595867734
19,-51.580030925814725
19,-49.75220781435767
19,-47.92080683213367
19,-46.08618476723484
19,-44.24862418018686
19,-42.40834932587487
19,-40.56554016994905
19,-38.720345749422755
19,-36.87289817485164
19,-35.023328792808414
19,-33.17178846559698
19,-31.318474658868126
19,-29.46366918708252
19,-27.607792254412065
19,-25.751481151796934
19,-23.895706079237904
19,-22.04194168357947
19,-20.19242183439041
19,-18.350517722460378
19,-16.521295851379787
19,-14.712331195032505
19,-12.934864564455603
19,-11.20538259227774
19,-9.547620938797067
19,-7.994770926123412
19,-6.59121652638594
19,-5.392442908978941
19,-4.461180393753985
19,-3.8582885846989092
19,-3.629353738451184
19,-3.791849305192438
19,-4.329570421553741
19,-5.197698441453157
19,-6.335410932699436
19,-7.679372675592733
19,-9.173107560656847
19,-10.771109107480381
19,-12.439102070994977
19,-14.152386901308475
19,-15.89365372549785
19,-17.650967730979325
19,-19.41616511670671
19,-21.18366935004285
19,-22.949653804327962
19,-24.711463095219262
19,-26.467217781585777
19,-28.21554526898006
19,-29.95539612284463
19,-31.685917608977604
19,-33.40636530869574
19,-35.11603987631683
19,-36.814240196881705
19,-38.50022699136732
19,-40.173192753743656
19,-41.832235106946335
19,-43.47633144052594
19,-45.10431318480733
19,-46.71483837674624
19,-48.3063613462986
19,-49.8770984448463
19,-51.424988786759315
19,-52.94764901834316
19,-54.442321208953146
19,-55.905813136103845
